original_label	predict_label	sample
其他	整体评价	为什么一定要打字
软件	整体评价	主要拿来Office办公用
整体评价	价格	之前看到很多负面的评价
其他	质量	也是悲剧了
其他	整体评价	买来学习
其他	整体评价	买来纯办公用
软件	其他	买这个主要是用来用onenote做笔记的
软件	其他	从Win8就一直存在
其他	整体评价	从仓储管理
其他	整体评价	从仓储管理
其他	售后和物流	以解客户忧患
其他	售后和物流	以解客户忧患
其他	外观	会经常跑
其他	整体评价	但是不是我的
其他	购买意向	但是你搜索东西跳转到第二个页面就出问题了刚买来的时候也是这样申请了维修
其他	质量	但是现在已经无限重启了
其他	整体评价	但是目前为止
其他	整体评价	其他的只能说是超大屏手机使用了一个星期才来评价
其他	硬件	卸载
整体评价	其他	厉害了
售后和物流	其他	又打售后说配件硬件问题会给我换但是要等七到十五天
整体评价	其他	反正我同事说够我用的了
其他	购买意向	同时买的小米
售后和物流	其他	售后给我讲操作了一连串的数字
硬件	其他	唯一不足的是我以前机器上的蓝牙鼠标无法使用
购买意向	其他	喜欢的赶快入手哦
其他	整体评价	因为周围用ipad的太多了
售后和物流	其他	在客服May的帮助下
售后和物流	购买意向	多次承诺送货多次食言
其他	购买意向	好没有用朋友推荐
售后和物流	其他	如果要给我配送的话还要向上级反应
其他	整体评价	小激动
其他	整体评价	少一个星是因为
其他	购买意向	就再也不理我了
其他	售后和物流	就是没有礼品送
其他	售后和物流	就是没有礼品送
其他	整体评价	就是没有送膜什么的
硬件	整体评价	就算用触控笔也一样升级之后就几乎完全没有了
整体评价	售后和物流	居然是重复闪退崩溃的
软件	其他	已安装上CAD
其他	质量	希望你能彻查此事
其他	购买意向	帮朋友买了
售后和物流	价格	幸亏没丢件
其他	整体评价	微信推文什么的
整体评价	其他	微软平板做的真是没话说
其他	软件	感觉真的是打开了新世界的大门
购买意向	其他	我买个机子
售后和物流	其他	我买了电脑回来还要我自己设置系统你们是干嘛的那我花钱干嘛呢电话指导维修了
其他	价格	我的工作用autocad比较多
其他	整体评价	所以经常玩游戏的话最好还是买厚一些
其他	外观	拿去给懂的朋友看
质量	整体评价	换新速度挺快的然而后面不小心划了怕是有问题也不能再换了评价一下机器
其他	价格	搞活动买的
其他	整体评价	早用早享受
整体评价	其他	昨晚电脑奔溃
整体评价	其他	最后可怜兮兮的显示一个错误代码要我联系技术支援部门对了国庆假期支援部门还不上班呢
硬件	质量	期间升级win10系统N次直到最新版还是显示蓝牙鼠标已连接
其他	整体评价	本来就是买来给宝宝学英语用
其他	整体评价	机器运行很顺畅目前还在使用中
包装	其他	没有任何填充物
整体评价	其他	没用过别的牌子的这种电脑
软件	整体评价	没的说安装CAD遇到麻烦
质量	其他	然后开机键音量键手指轻放上去会四周晃动特别松动然后背后支架也是掰开松紧度不统一松一下紧一下
包装	其他	照片都还是我擦过以后的样子箱子里面居然没有任何的填充物
其他	整体评价	现在评价感觉吧
硬件	售后和物流	用了10几分钟就很热很热了厂家售后挺好的
其他	整体评价	用了一个月
其他	整体评价	用了大概三个星期才来评价
其他	整体评价	用了好久才来评价的
其他	购买意向	用手机新注册的账号
其他	整体评价	用的好在追评
其他	整体评价	电脑还要慢慢试
其他	价格	留意了一整个月了三个1出手的111
其他	整体评价	目前拿来记笔记看paper
硬件	其他	目前的显卡驱动和win10系统之间存在BUG
其他	整体评价	看多了IPAD
整体评价	其他	神器呀办公娱乐两不误双11
硬件	其他	第二天一早肯定要充电PS
其他	价格	等到1111
其他	购买意向	给女儿买的生日礼物
其他	质量	网上说的问题都没有
其他	整体评价	老婆看上的轻巧本本
其他	整体评价	老板指定的机型
质量	其他	胶带都开了忘记拍照了
其他	整体评价	莫非要你让人家跳河）（热情和克制
其他	价格	虽然是老款
其他	整体评价	要把画质调低才能保持帧率还下载了个模拟器以最高画质（没有开高清模式）玩了下
售后和物流	其他	让直接打微软的客服自己解决
购买意向	其他	说什么建议买8g的呀
其他	整体评价	谁要
其他	整体评价	跑了好多地方
软件	其他	还是不能在应用商店下载东西
整体评价	其他	还是挺有用和逼格的（怕手指脏
其他	质量	还是易碎的电子产品的
硬件	质量	还有一个最大的问题就是屏幕在选择成自动调节或者联系亮度以下亮度的情况下
其他	购买意向	还有你下ps
硬件	购买意向	还烫手除了装X
其他	整体评价	还能省下买触控板的钱和减少外设附件毕竟这货只有一个
其他	购买意向	这也不是什么缺陷总体来说值得拥有上班用
其他	整体评价	这样我就不用去那啥拼双十一了呀
其他	整体评价	连进个打牌的游戏都很慢想配个dock
其他	购买意向	首先
外观	其他	首先外观没话说
软件	整体评价	电脑和谷歌浏览器十分不兼容
硬件	外观	4G有点小
其他	硬件	已缓存的
包装	购买意向	一不小心就抢到了套装
其他	包装	一个是只装腾讯
包装	质量	不过无损内涵和环保隔天才打开的
包装	售后和物流	京东包装有点迷
包装	整体评价	但好几千的东西不能用箱子装吗
包装	其他	你丫的能不能弄个好点箱子
包装	整体评价	木有任何减震措施
包装	质量	送过来时外壳都坏掉了
包装	整体评价	钢化膜
包装	购买意向	银子不够无奈接受追加了ARC和软甲护壳（外观比起裸机的透气变得硬朗）
整体评价	售后和物流	但是微软中国的服务是杠杠滴
硬件	质量	但是微软的surface系列好像都有充电发热的情况
整体评价	购买意向	大家自己去注册微软可以保2年
整体评价	其他	微软我是没用过他们的产品
硬件	整体评价	新款只不过CPU稍微高点
售后和物流	其他	取消了退货申请
售后和物流	其他	我已经把这电热砧板退了
售后和物流	整体评价	提案
其他	质量	不要只被外表吸引
外观	整体评价	作为平板稍嫌大了点
外观	软件	字非常小
整体评价	价格	累
售后和物流	外观	重点要夸一下快递员
硬件	售后和物流	12寸屏刚好
硬件	整体评价	显卡性能有点差
硬件	其他	有背灯
硬件	质量	虽然第一个有闪屏
硬件	整体评价	视频清晰
售后和物流	其他	今天中午收到货机子刚用
售后和物流	其他	到手了
售后和物流	整体评价	各种找不到
售后和物流	整体评价	态度很愉快
售后和物流	价格	昨天下单
其他	整体评价	毕竟手机都4g主流了
售后和物流	其他	配送员也非常的热情
售后和物流	其他	配送员也非常的热情
硬件	整体评价	CPU性能最强
硬件	整体评价	一个是追影电源适配器
软件	整体评价	三的图界面
整体评价	其他	上手快
整体评价	硬件	上网速度不够快
硬件	整体评价	不敢想象如果网络速度不够要画多久时间才能开始使用）
软件	整体评价	不能用天正cad有点麻烦
整体评价	售后和物流	东西很好速度很快
其他	整体评价	也很快捷
整体评价	硬件	书写流畅（看pdf没有很好用的软件
其他	整体评价	但如果用于做ppt
软件	整体评价	但是系统很流畅
整体评价	其他	作为第二电脑来说够用了
软件	整体评价	你就是运行软件
其他	整体评价	值慢慢开用了
整体评价	软件	升完级就没法刷脸了
售后和物流	其他	双十一的速度实在是不能恭维
整体评价	软件	可能是因为升级系统的关系
其他	整体评价	和一些简单上网看电影的话
其他	售后和物流	因为我已横向纵向/实体和网店
整体评价	软件	因为确实功能有点少
软件	整体评价	在浏览器栏输入地址会直接卡死
其他	整体评价	如图
软件	整体评价	如网易云音乐之类的
整体评价	其他	娱乐就慢慢再体会了
硬件	整体评价	希望上网速度也快
整体评价	其他	开机完成一系列的注册
整体评价	质量	开机时
整体评价	其他	性能后期操作后在追加评论
硬件	整体评价	总感觉内存会不够用
软件	整体评价	感觉不错面部识别不是太灵敏
整体评价	质量	战战兢兢的打开
软件	整体评价	操作界面的字太小了
硬件	质量	出现过一次开机闪屏和杂音
其他	硬件	数次调戏进度条
整体评价	其他	是因为开机时间长你一直运行
包装	其他	机器就放一箱子里没有任何填充缓冲物
硬件	整体评价	机身温度也不高
整体评价	硬件	每次退出就自动刷新界面
售后和物流	其他	比自己去店里买都快
整体评价	质量	玩点小游戏也听惬意缺点也很多
整体评价	售后和物流	现在都是可以调节角度的后座
其他	质量	直接能打开
其他	硬件	看电影
整体评价	质量	看网页和打字还会卡一下是什么情况
整体评价	硬件	笔可玩性比较高
软件	整体评价	系统流畅
软件	整体评价	系统流畅
软件	整体评价	系统流畅
软件	整体评价	系统运行也流畅
软件	整体评价	网易云音乐之类常用聊天X86应用
硬件	整体评价	网速很快
整体评价	其他	考虑到办公需要就入手这台Surface刚开机设置之后发现WiFi的驱动异常
软件	整体评价	还是专业版更好希望能用久点
整体评价	其他	还是用来修图比较能够发挥最大潜能
软件	整体评价	配合onenote笔记神器
软件	整体评价	音亮滑一滑不了还有这些上下滑反页也不行例如酷狗搜索歌曲之后
硬件	购买意向	一百次都不嫌麻烦风扇声特别大
其他	整体评价	为什么
软件	整体评价	之前说是软件更新的事
整体评价	软件	amazing
软件	其他	ipad简直就是平板玩具最后onenote+笔还在体验中
质量	售后和物流	不是全新啊
软件	质量	只不过刚到手的机器一定要先把系统升级到最新版
软件	其他	在家找出多年没用用过的usb网卡（幸好这东东有个usb口）继续更新系统
硬件	软件	就是上的i5乞丐版
软件	价格	有点不习惯win10
软件	整体评价	系统也很流畅
其他	软件	系统默认好评
其他	购买意向	过关）
硬件	质量	唯一觉得有点遗憾的是发热问题
硬件	整体评价	平板状态玩纸牌都起热
硬件	整体评价	很容易发烫另外电池简直太差了啊
硬件	整体评价	有评价说散热不好
硬件	整体评价	确实存在散热不好的问题
硬件	整体评价	确实有点烫手
硬件	整体评价	风扇只启动过一次很吓人
外观	整体评价	不错的产品设计
外观	整体评价	主要竞争力没有发挥优势没有太惊艳
外观	整体评价	就那样
外观	整体评价	工艺还不错吧
售后和物流	外观	很美妙的感觉）物流给力次日达
外观	整体评价	无法启动相机不好使有很多不方便之处但是我非常喜欢这款的设计
硬件	质量	最严重的是经常出现开机屏幕不亮
外观	整体评价	本体侧面有轻微的划痕
外观	整体评价	机器外观挺不错的
外观	购买意向	看中这款本子
外观	整体评价	看着跟理想的区别不大就是笔还没玩
外观	整体评价	看起来很不错
整体评价	其他	简直就是鸡肋
其他	整体评价	设置这
其他	整体评价	设置那的
外观	质量	通过接口处的划痕可见
硬件	质量	4g内存用来做ps和简单的cad处理也是完全没有问题
整体评价	其他	5颗星已经不能表达我的满意了
其他	整体评价	S
硬件	整体评价	c口就很好了
硬件	软件	nnd更新把无线网卡更新没了
硬件	购买意向	一万个差评可以说是非常差了刚买来电池就是烧坏的
售后和物流	其他	不支持七天退换货就寄来一台旧电脑
质量	整体评价	不管有没有重装
软件	价格	不过单独运行CAD2016及Creo40也可
其他	整体评价	不过总体来说
整体评价	其他	东西还不错希望能够使用时间长一点呵呵
整体评价	其他	为了便携买的这个电脑
售后和物流	整体评价	也安排时间另行配送同时京东商城在售后管理上也非常好的
整体评价	质量	产品还没有打开
整体评价	其他	但是作为本子
整体评价	其他	但是可以自己去网页上下载分区只有一个C区
整体评价	售后和物流	但是非常建议大家买一个碎屏险
整体评价	其他	作好了收货时的心理准备价格我十分自信
其他	整体评价	先说优点
整体评价	其他	先这样吧
其他	整体评价	全没了
整体评价	价格	到时候补个外接扩展总体而言秒杀价超级赞
软件	整体评价	十颗星预装office是另售的
整体评价	质量	卡的问题我就不说了
整体评价	硬件	只看paper记笔记的话六个小时吧大概
硬件	整体评价	可以手写
整体评价	价格	同样是i5
硬件	整体评价	哈哈哈差点搞出不能上网的插曲客服真不错
整体评价	售后和物流	唯一美中不足就是开机即升级
外观	整体评价	外貌不错女朋友很喜欢
价格	整体评价	太赞了~就是配件太贵~
其他	整体评价	女儿选的
整体评价	价格	好评666
软件	整体评价	好评尤其是脸部识别
硬件	其他	对着一台没有网络Windows的平板一头雾水呀
硬件	外观	小问题就是高分辨率软件适配不太好
整体评价	硬件	就好像刷新度低的那种感觉很不好
硬件	整体评价	就是触控离苹果还差一些
整体评价	外观	差了点小插曲
整体评价	其他	已经离不开了一刚巨硬大法好
软件	整体评价	平板是不错就是微软有些软件设计的太糟糕驱动完之后
整体评价	售后和物流	很不错支持京东
整体评价	质量	很多人跟我一样有很多问题
整体评价	其他	微软的这款才能称之为平板电脑
整体评价	其他	我也不懂这些电脑啥的
整体评价	质量	所以卡顿问题应该是某些软件自身问题
整体评价	其他	所以大家就当作是产品质量合格的意思来看就行了
硬件	其他	拿到手的时候机器是完全没电的
整体评价	质量	敲机棒
售后和物流	价格	昨天下单今天就到了还没认真的试应该不错的
整体评价	质量	暂时还没有发现什么问题
其他	整体评价	最后一句
整体评价	质量	有一些瑕疵
价格	整体评价	机子不错性价比也不错
价格	整体评价	正好赶上降价女儿挺喜欢的
质量	整体评价	比如关机后无法开机
硬件	整体评价	比如注册时输错一个字母一直改不过来
其他	整体评价	比如美图秀秀
整体评价	质量	毛病也不少
其他	整体评价	没人联系
软件	整体评价	没有outlook
整体评价	质量	没有什么问题
质量	包装	没有破损
包装	整体评价	油渍
整体评价	其他	现在五千大洋能买到这样的电脑啊
售后和物流	整体评价	电脑包一个都没得送
外观	整体评价	电脑很漂亮
外观	整体评价	电脑很漂亮
外观	整体评价	电脑很美观很实用
硬件	整体评价	电脑收到硬件应该没问题
质量	整体评价	目前没有发现差评里的那些情况
整体评价	其他	相对于其他品牌二合一来说
其他	整体评价	相比华为e来说
整体评价	其他	看了其他牌子的二合一电脑
外观	整体评价	看着还是很不错的
外观	整体评价	看起来不错的产品
整体评价	其他	真的对得起我的期待
其他	整体评价	红红火火恍恍惚惚h
其他	整体评价	结果还是这样
硬件	整体评价	能有个type
外观	整体评价	苏菲真的很美
软件	其他	营造家庭Windows系统环境电脑
整体评价	软件	虽然不是最新的s
整体评价	售后和物流	表示我对产品是认可的
硬件	整体评价	触控笔加onenote和xodo绝配
售后和物流	价格	让加付money升级成几年免费维修
整体评价	其他	说真的只能给8分
整体评价	软件	跑eda软件这一点就可以甩ipad几条街了
整体评价	其他	跟厉害
其他	整体评价	还没下ps
硬件	整体评价	还烫得像铁板那样
整体评价	质量	连了个无线鼠标就没了电池可以
硬件	整体评价	选择8g的话应该就好很多了
硬件	整体评价	pro能比的不足之处是续航太短
外观	整体评价	充电器的设计很赞
其他	硬件	及时
售后和物流	硬件	只是发货的时候少了一个电源线
硬件	整体评价	可惜没电的不是应该出场有点电的吗
硬件	质量	后来我意识到可能是底电量
硬件	整体评价	就是新机彻底没电比较那啥
硬件	整体评价	平板这边冲一秒电
硬件	质量	现在也就四个小时
质量	整体评价	电脑买来的时候有明显的划痕
硬件	购买意向	看中续航时间的不要买jd
硬件	整体评价	试了一下居然不能用于手机充电
质量	其他	说是很明显的翻新机还告诉我京东很多电子产品都是翻新机要求退款的时候
硬件	售后和物流	调到省电模式续航很长
硬件	整体评价	运行了五个多小时
硬件	整体评价	这点电池续航时间不满意收货的时候外包装是完整的
软件	质量	但是软件有问题
软件	硬件	显示未安装
整体评价	软件	玩游戏还是别指望了
软件	硬件	虽然因为office没激活开始出了点小插曲
软件	整体评价	语音指示省去不少搜索输入
硬件	质量	不到一个月键盘又出现问题
整体评价	质量	不过为了工作也只能用这了
售后和物流	质量	主要是物流问题
硬件	质量	之前买台式机硬件问题
整体评价	硬件	之前顾虑巨硬品控
硬件	质量	会出现闪屏的现象
其他	整体评价	但就是
其他	整体评价	但是
质量	包装	但是开箱就发现崩了个豁口
硬件	质量	但是本本好像很容易发热死机
质量	整体评价	做做表格弄弄文档很不错
质量	其他	做屁屁踢的
质量	价格	做工100
质量	整体评价	出现这种问题直接返厂
质量	整体评价	只是用了没一个月就掉漆了
质量	整体评价	存储有点少其他测试待定
质量	硬件	就是显示屏两个月不到出现了问题
质量	整体评价	工作效率提高很多
硬件	质量	才用了不到一个月就各种发热死机
质量	其他	打开后开关处有一个小磕碰
硬件	质量	接口减少已经当主力机了
质量	整体评价	暂时还没发现啥大问题
硬件	质量	期待更新之后能减轻发热的问题
质量	其他	没打开
质量	硬件	现象消失
整体评价	质量	目前没有存在卡顿的情况
质量	整体评价	确实有开不开机的情况
硬件	质量	第一次开机电脑无法搜索任何网路信号然后技术支持帮忙解决了说不是硬件问题
硬件	质量	第二天上午就到了不得不为京东的快递点个赞机器用起来暂时没有别人说的屏幕的问题
软件	质量	软件坏掉两次
价格	购买意向	548入手
购买意向	价格	9月买的
其他	购买意向	一星都不想给买了一个月
硬件	购买意向	一直显示这个
整体评价	其他	之前看了网友各种提醒贴
购买意向	整体评价	买之前一定要想好
购买意向	价格	买了一个月
购买意向	价格	买了一个月
购买意向	价格	买了个低配
购买意向	售后和物流	买完后就接到推销电话
购买意向	其他	买来送外国友人
购买意向	价格	买这玩意纯属钱多
购买意向	售后和物流	会经常光顾这家店
整体评价	购买意向	关键这个电脑我是送人的幸亏我检查一下准备帮人把软件都装好送人
购买意向	质量	十次八次
购买意向	其他	在微软实体店体验好了才来下单的
整体评价	质量	弄了好几次
购买意向	其他	心情不好买台surface安慰一下
购买意向	其他	我靠这次就被忽悠了
其他	购买意向	救场了
购买意向	价格	昨天买的
购买意向	售后和物流	最后只是教我备份重装系统看了网上
购买意向	整体评价	此次破例
购买意向	价格	然后半小时不到立马退了100回来
购买意向	价格	然后有30天价保看外观没有二手痕迹
购买意向	售后和物流	直到看到这款
购买意向	其他	第一次网购此类产品
购买意向	软件	终于完成了系统的更新和注册
购买意向	质量	终于降价入手没有问题
购买意向	整体评价	能买大一点就买大一点的吧
售后和物流	购买意向	被强大的物流炸毛了昨晚下单
购买意向	售后和物流	证实是多虑了
购买意向	整体评价	跟ipadpro比较了很久才下定决心买这款
购买意向	整体评价	还是加点钱买苹果的吧
购买意向	其他	这个是帮同事买的
购买意向	其他	这个本子从买到手就一直卡
购买意向	价格	这是我10月2日买的
售后和物流	价格	这是我第一次在京东上买电子产品但是我觉得京东的这个买平板送键盘的这个活动也是鸡肋的很
购买意向	其他	这是第二台
购买意向	其他	这是第二台了
质量	其他	这次买这个又是到手上边框有点翘边我给摁进去有咔一声响第二天又有点翘起来了
质量	整体评价	个人运气太好遇到拿回来的充电线就是坏的
硬件	价格	但是总算是少了一些有键盘盖有笔有笔尖很不错了~键盘盖没有味道~
硬件	外观	再一个就是键盘还没到机子很漂亮
硬件	整体评价	写写画画的比较方便（ipad
硬件	购买意向	因为键盘明明就是顾客花了钱买的
硬件	整体评价	图标闪烁
硬件	整体评价	很方便的键盘设计
硬件	其他	微软的让下载surface恢复映像
硬件	外观	手写是亮点
硬件	质量	新机怎么触控笔不能用
硬件	价格	标压i5
硬件	整体评价	笔对我的作用不太大
硬件	整体评价	这个pro4i5-4并没感觉慢
硬件	外观	黑色键盘比其他颜色看起来弱点
售后和物流	整体评价	一直还是比较相信京东的
售后和物流	整体评价	主要为京东售后打call服务太棒了
售后和物流	整体评价	京东的产品信得过
质量	售后和物流	家里买东西基本都在京东商城里买质量有保证还足不出户
整体评价	售后和物流	很商务
整体评价	质量	怀疑是旧机翻新
售后和物流	其他	我打电话到客服部
售后和物流	硬件	打了好多电话
整体评价	售后和物流	服了
售后和物流	整体评价	而且微软的客服真心专业
售后和物流	其他	联系了2天也没有处理反馈
售后和物流	整体评价	行货不错京东买东西的好处就是放心
购买意向	售后和物流	购买最多的产品
